sensor_id,gate_id,name,sample_rate_s,admin_status
GATE-01-s1,GATE-01,BadgeReader,1,up
GATE-01-s2,GATE-01,BadgeReader,1,up
GATE-01-s3,GATE-01,CVCamera,5,up
GATE-01-s4,GATE-01,CVCamera,5,up
GATE-02-s1,GATE-02,BadgeReader,1,up
GATE-02-s2,GATE-02,BadgeReader,1,up
GATE-02-s3,GATE-02,CVCamera,5,up
GATE-02-s4,GATE-02,CVCamera,5,up
GATE-03-s1,GATE-03,BadgeReader,1,up
GATE-03-s2,GATE-03,BadgeReader,1,up
GATE-03-s3,GATE-03,CVCamera,5,up
GATE-03-s4,GATE-03,CVCamera,5,up
GATE-04-s1,GATE-04,BadgeReader,1,up
GATE-04-s2,GATE-04,BadgeReader,1,up
GATE-04-s3,GATE-04,CVCamera,5,up
GATE-04-s4,GATE-04,CVCamera,5,up
GATE-05-s1,GATE-05,BadgeReader,1,up
GATE-05-s2,GATE-05,BadgeReader,1,up
GATE-05-s3,GATE-05,CVCamera,5,up
GATE-05-s4,GATE-05,CVCamera,5,up
GATE-06-s1,GATE-06,BadgeReader,1,up
GATE-06-s2,GATE-06,BadgeReader,1,up
GATE-06-s3,GATE-06,CVCamera,5,up
GATE-06-s4,GATE-06,CVCamera,5,up
GATE-07-s1,GATE-07,BadgeReader,1,up
GATE-07-s2,GATE-07,BadgeReader,1,up
GATE-07-s3,GATE-07,CVCamera,5,up
GATE-07-s4,GATE-07,CVCamera,5,up
GATE-08-s1,GATE-08,BadgeReader,1,up
GATE-08-s2,GATE-08,BadgeReader,1,up
GATE-08-s3,GATE-08,CVCamera,5,up
GATE-08-s4,GATE-08,CVCamera,5,up
